starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,executing,end,query end,waiting for handler commit,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
9.8e-05,1.4000000000000001e-05,1.8e-05,9.300000000000001e-05,1.1e-05,1.3000000000000001e-05,2.2e-05,2.9999999999999997e-05,0.00011100000000000001,9.1e-05,1e-05,8e-06,1.3000000000000001e-05,1.2e-05,5.5e-05,1.8e-05,0.000617,2,2.0,1606371116.6966295
0.000102,8e-06,1.7e-05,0.000106,1.2e-05,1.4e-05,2.2e-05,3.1e-05,0.000105,0.001872,1e-05,8e-06,3e-05,2.9e-05,6.9e-05,1.8e-05,0.0024530000000000003,1198,219.5934,1606371176.7851894
6.2e-05,5e-06,1.3000000000000001e-05,5.600000000000001e-05,9e-06,1e-05,1.8e-05,2.4e-05,6.6e-05,0.002506,1e-05,7.000000000000003e-06,2.5e-05,1e-05,4.2e-05,1.4999999999999999e-05,0.002878,2394,438.8202,1606371236.8668964
9.8e-05,8e-06,1.6e-05,8.8e-05,1.1e-05,1.2e-05,2e-05,4.7e-05,9.4e-05,0.003863,9e-06,5e-06,2.7e-05,8e-06,2.7e-05,1.1e-05,0.004344,3590,658.047,1606371296.9543526
5.1e-05,5e-06,1e-05,4.8e-05,7.000000000000003e-06,8e-06,1.2e-05,1.6e-05,5.600000000000001e-05,0.008927,1.3000000000000001e-05,8e-06,7.6e-05,1.3000000000000001e-05,6.8e-05,1.6e-05,0.009334,4786,877.2738,1606371357.0526488
7.8e-05,7.000000000000003e-06,1.5e-05,8.1e-05,1e-05,1e-05,1.7e-05,2.3e-05,8e-05,0.007712,9e-06,5e-06,6.1e-05,9e-06,2.9e-05,1.1e-05,0.008157,6086,1115.5638,1606371417.166978
8.3e-05,6e-06,1.2e-05,6.2e-05,8e-06,9e-06,1.4000000000000001e-05,1.9e-05,9.8e-05,0.012239,9e-06,6e-06,7.4e-05,8e-06,3.4e-05,1.1e-05,0.012692,7192,1318.2936,1606371477.3194857
5.7e-05,5e-06,1.2e-05,4.9e-05,8e-06,8e-06,1.2e-05,1.7e-05,5.9e-05,0.016812,1.2e-05,7.000000000000003e-06,0.000134,3.1e-05,4.1e-05,1.5e-05,0.017279,8366,1533.4878,1606371537.5201368
8e-05,7.000000000000003e-06,1.4000000000000001e-05,8e-05,1e-05,1e-05,1.8e-05,2.3e-05,8e-05,0.017735,1.3000000000000001e-05,7.000000000000003e-06,0.00011899999999999999,1.1e-05,3.8e-05,1.3000000000000001e-05,0.018258,9434,1729.2522,1606371597.6993554
8e-05,7.000000000000003e-06,1.4e-05,8.1e-05,1e-05,1.1e-05,1.7e-05,2.4e-05,9.8e-05,0.021487,1.3e-05,6e-06,0.0001,9e-06,3.2e-05,1.4e-05,0.022003,10700,1961.31,1606371657.9572995
8.499999999999999e-05,8e-06,1.6e-05,8.4e-05,1.1e-05,1.2e-05,2e-05,2.8999999999999997e-05,0.0001,0.026162,1.3000000000000001e-05,7.000000000000003e-06,0.000161,1.2e-05,4.3e-05,1.4999999999999999e-05,0.026777999999999996,11812,2165.1396,1606371718.2749119
8e-05,7.000000000000003e-06,1.5e-05,8e-05,1e-05,1.1e-05,1.8e-05,2.4e-05,8.2e-05,0.034910000000000004,1.4e-05,7.000000000000003e-06,0.000146,1.2e-05,3.5e-05,1.6e-05,0.035467,13068,2395.3644,1606371778.5671687
8e-05,8e-06,1.4000000000000001e-05,8.1e-05,1e-05,1.1e-05,1.8e-05,2.3e-05,0.00011100000000000001,0.030154000000000007,1.4000000000000001e-05,6e-06,0.000117,9e-06,3.2e-05,1.4000000000000001e-05,0.030701999999999997,14170,2597.361,1606371838.994526
5.600000000000001e-05,6e-06,2.6e-05,5.3e-05,7.000000000000003e-06,8e-06,1.3e-05,1.7e-05,6e-05,0.039042,1.9e-05,7.000000000000003e-06,0.000204,1.2e-05,3.5e-05,1.5e-05,0.03958,15114,2770.3962,1606371899.3236866
5.9999999999999995e-05,5e-06,1e-05,5.3e-05,7.000000000000003e-06,8e-06,1.3000000000000001e-05,2.4e-05,6.1e-05,0.040795,1.6e-05,7.000000000000003e-06,0.000213,1.2e-05,5.7999999999999994e-05,1.7e-05,0.041359,16166,2963.2278,1606371959.7566414
7.3e-05,6e-06,1.3e-05,7.3e-05,9e-06,1e-05,1.7e-05,2.2e-05,9.4e-05,0.042478,1.8e-05,8e-06,0.00021,1.2e-05,5.2e-05,1.9e-05,0.043114,17264,3164.4912,1606372020.3547213
9.4e-05,8e-06,1.4000000000000001e-05,9e-05,1.1e-05,1.1e-05,1.8e-05,2.6000000000000002e-05,8.7e-05,0.057553,1.8e-05,7.000000000000003e-06,0.000236,1.3000000000000001e-05,4.6e-05,1.9e-05,0.058251,18388,3370.5203999999994,1606372080.9160953
9.7e-05,8e-06,1.4e-05,8.1e-05,1e-05,1e-05,1.8e-05,2.5e-05,8e-05,0.062383,1.8e-05,8e-06,0.00024700000000000004,1.3e-05,4.6e-05,1.8e-05,0.063076,19458,3566.6514,1606372141.584419
7.900000000000001e-05,8e-06,1.4999999999999999e-05,7.900000000000001e-05,1.1e-05,1e-05,1.7e-05,2.4e-05,8.2e-05,0.06536900000000001,1.7e-05,8e-06,0.000292,1.2e-05,4.6e-05,1.8e-05,0.066087,21040,3856.632,1606372202.372497
8.3e-05,8e-06,1.4e-05,8.1e-05,1e-05,1.1e-05,1.8e-05,2.4e-05,8.1e-05,0.071389,1.8e-05,7.000000000000003e-06,0.000278,1.3e-05,4.8e-05,1.7e-05,0.0721,22076,4046.5308,1606372263.0958214
8e-05,8e-06,1.4000000000000001e-05,8e-05,1e-05,1.1e-05,1.7e-05,2.5e-05,8e-05,0.060044000000000014,1.4999999999999999e-05,6e-06,0.000292,1.3000000000000001e-05,4.3e-05,1.8e-05,0.060756,22906,4198.6698,1606372324.019157
8e-05,7.000000000000003e-06,1.4e-05,8e-05,1.1e-05,1e-05,1.7e-05,2.3e-05,8.1e-05,0.081586,1.8e-05,8e-06,0.000342,1.3e-05,7e-05,1.9e-05,0.082379,23916,4383.8028,1606372384.710412
