starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,Creating tmp table,executing,end,query end,waiting for handler commit,removing tmp table,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
5.2000000000000004e-05,7.000000000000003e-06,2.4e-05,2.7000000000000002e-05,1.9e-05,1.1e-05,9e-06,1.3000000000000001e-05,1.4000000000000001e-05,3.6e-05,0.000121,9e-06,7.000000000000003e-06,1.8e-05,1.1e-05,9e-06,3.9e-05,1.3000000000000001e-05,0.000439,21,21.0,1606371118.7028608
4.4e-05,6e-06,7.000000000000003e-06,2.1e-05,8e-06,9e-06,8e-06,1.2e-05,1.2e-05,3.1e-05,0.000948,8e-06,6e-06,1.5e-05,1e-05,8e-06,3.6e-05,1.4e-05,0.001203,619,619.0,1606371178.7869518
3.7e-05,5e-06,6e-06,1.7e-05,7.000000000000003e-06,7.000000000000003e-06,6e-06,9e-06,9e-06,2.3e-05,0.001282,6e-06,5e-06,1.1e-05,7.000000000000003e-06,6e-06,2.5e-05,2.4e-05,0.001492,1216,1216.0,1606371238.813146
5.2e-05,1.3e-05,8e-06,2.2e-05,7.000000000000003e-06,8e-06,6e-06,1.1e-05,1e-05,2.6e-05,0.002256,9e-06,5e-06,1.2e-05,8e-06,6e-06,2.7e-05,9e-06,0.002495,1814,1814.0,1606371298.8837936
4.5e-05,7.000000000000003e-06,2.3e-05,2.6000000000000002e-05,1e-05,1.1e-05,9e-06,1.4000000000000001e-05,1.4000000000000001e-05,6.2e-05,0.0034130000000000002,9e-06,6e-06,1.7e-05,9e-06,8e-06,3.6e-05,1.8e-05,0.003737,2412,2412.0,1606371358.9617445
4.4e-05,7.000000000000003e-06,8e-06,2.4e-05,9e-06,1e-05,6e-06,1.1e-05,1e-05,2.8000000000000013e-05,0.003393,8e-06,5e-06,1.3e-05,8e-06,7.000000000000003e-06,2.8000000000000013e-05,1.2e-05,0.003631,3062,3062.0,1606371419.0372891
3.7e-05,5e-06,6e-06,2.9999999999999997e-05,7.000000000000003e-06,8e-06,6e-06,9e-06,9e-06,2.4e-05,0.0039829999999999996,9e-06,5e-06,1.3000000000000001e-05,8e-06,7.000000000000003e-06,2.8999999999999997e-05,9e-06,0.004204,3614,3614.0,1606371479.1142554
3.8e-05,5e-06,6e-06,1.6e-05,6e-06,7.000000000000003e-06,6e-06,9e-06,1e-05,4.3e-05,0.004369,9e-06,5e-06,1.3e-05,8e-06,7.000000000000003e-06,6.7e-05,1e-05,0.004634,4201,4201.0,1606371539.194054
5.1e-05,7.000000000000003e-06,8e-06,2.2e-05,9e-06,1e-05,8e-06,1.3000000000000001e-05,1.2e-05,3.3e-05,0.010008,1e-05,7.000000000000003e-06,1.8e-05,1.1e-05,9e-06,3.8e-05,1.3000000000000001e-05,0.010287000000000001,4734,4734.0,1606371599.2797244
5e-05,7.000000000000003e-06,8e-06,2.2e-05,9e-06,1e-05,7.000000000000003e-06,1.2e-05,1.2e-05,3.1e-05,0.011234,1.2e-05,7.000000000000003e-06,1.8e-05,1e-05,9e-06,3.8e-05,1.3e-05,0.011509,5366,5366.0,1606371659.3646085
